bond_lengths,bond_angles,torsions,rings,mol_name,source_file
0.64,0.5238095238095238,0.3333333333333333,,RDKit          3D,5d7n_D_rec_4jt9_1ns_lig_tt_min_0.sdf
0.2777777777777778,0.3888888888888889,0.3333333333333333,0.0,RDKit          3D,2zen_A_rec_2afx_1bn_lig_tt_docked_7.sdf
0.375,0.8333333333333334,1.0,,RDKit          3D,1jn2_P_rec_1val_png_lig_tt_docked_11.sdf
0.55,0.3888888888888889,1.0,0.0,RDKit          3D,3l3n_A_rec_2iux_nxa_lig_tt_docked_2.sdf
0.4444444444444444,0.4782608695652174,0.0,0.0,RDKit          3D,3g51_A_rec_3g51_anp_lig_tt_min_0.sdf
0.47058823529411764,0.75,0.5,,RDKit          3D,3u5y_B_rec_3u57_dh8_lig_tt_min_0.sdf
0.4090909090909091,0.6363636363636364,0.8,,RDKit          3D,4ja8_B_rec_4ja8_1k9_lig_tt_docked_0.sdf
0.48,0.6956521739130435,0.25,0.0,RDKit          3D,3kc1_A_rec_3kc1_2t6_lig_tt_min_0.sdf
0.5,0.3333333333333333,,,RDKit          3D,3tym_A_rec_3n5v_xfh_lig_tt_min_0.sdf
0.6428571428571429,0.5,,0.0,RDKit          3D,5mgl_A_rec_5mgl_7mu_lig_tt_min_0.sdf
0.47058823529411764,0.2857142857142857,0.0,0.0,RDKit          3D,2jjg_A_rec_2jjg_plp_lig_tt_min_0.sdf
0.6774193548387096,0.6666666666666666,0.0,0.0,RDKit          3D,4iwq_A_rec_4jlc_su6_lig_tt_min_0.sdf
0.5714285714285714,0.47619047619047616,0.7142857142857143,,RDKit          3D,3chc_B_rec_3ch9_xrg_lig_tt_min_0.sdf
0.5263157894736842,0.5882352941176471,0.0,0.0,RDKit          3D,5tjn_A_rec_1zj1_nlc_lig_tt_docked_4.sdf
0.16666666666666666,0.5,1.0,,RDKit          3D,4tqr_A_rec_2xca_doc_lig_tt_min_0.sdf
0.3333333333333333,0.45454545454545453,0.6666666666666666,0.25,RDKit          3D,4tos_A_rec_4tos_355_lig_tt_min_0.sdf
0.45454545454545453,0.4166666666666667,0.5,0.0,RDKit          3D,3dzh_A_rec_3u4i_cvr_lig_tt_docked_0.sdf
0.32142857142857145,0.6086956521739131,0.5,,RDKit          3D,1e8h_A_rec_1e8h_adp_lig_tt_min_0.sdf
0.34210526315789475,0.5925925925925926,0.7272727272727273,,RDKit          3D,4qlk_A_rec_4qlk_ctt_lig_tt_docked_0.sdf
0.5,0.65,0.5454545454545454,,RDKit          3D,5mma_A_rec_4ztf_x2p_lig_tt_min_0.sdf
0.36363636363636365,0.07142857142857142,0.0,0.0,RDKit          3D,4xli_B_rec_4xli_1n1_lig_tt_min_0.sdf
0.7,0.6551724137931034,,,RDKit          3D,1ai4_A_rec_1ai5_mnp_lig_tt_docked_0.sdf
0.391304347826087,0.5,0.625,,RDKit          3D,1gg5_A_rec_1kbo_340_lig_tt_min_0.sdf
0.38461538461538464,0.4666666666666667,1.0,0.0,RDKit          3D,3pdh_A_rec_4buz_ocz_lig_tt_min_0.sdf
0.5454545454545454,0.6896551724137931,0.5714285714285714,0.0,RDKit          3D,2z3h_A_rec_1wn6_bst_lig_tt_docked_3.sdf
0.4117647058823529,0.5625,0.8,1.0,RDKit          3D,2pc8_A_rec_1eqc_cts_lig_tt_docked_6.sdf
0.6875,0.5,,1.0,RDKit          3D,4d7o_A_rec_3n5z_xfm_lig_tt_min_0.sdf
0.6363636363636364,0.4666666666666667,0.6666666666666666,0.0,RDKit          3D,4keu_A_rec_4ket_pg4_lig_tt_min_0.sdf
0.5,0.75,1.0,,RDKit          3D,2cy0_A_rec_2d5c_skm_lig_tt_min_0.sdf
